player_name,club_name,position_name,now_cost,total_points,event_points,points_per_game,selected_by_percent,goals_scored,assists,minutes,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,bonus,influence,creativity,threat,ict_index,form,dreamteam_count,value_form,value_season,transfers_in,transfers_out,transfers_in_event,transfers_out_event,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,defensive_contribution_per_90,news,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
Maxence Lacroix,Chelsea,DEF,6.0,154,0,4.4,10.5,1,2,3085,11,47,0,0,0,0,4,1,11,822.0,106.4,316.0,124.3,0.0,0,0.0,25.7,0,0,0,0,0.0,0.0,0.0,0.0,2.45,0.83,3.28,44.04,35,60,310,96,370,10.79,,28,10,236,74,89,11,82,19,,,,,,,0.07,0.0,0.02,0.09,1.28,1.37,80,8,507,189,33,12,44,16,1.02,0.32
Bruno Bruno G.,Arsenal,MID,7.0,154,0,5.3,8.9,9,7,2456,6,37,0,0,0,0,6,0,22,782.4,756.7,488.0,202.9,0.0,0,0.0,22.0,0,0,0,0,0.0,0.0,0.0,0.0,5.59,4.96,10.55,31.99,27,62,55,134,251,9.2,,32,9,18,17,45,27,20,16,5.0,,,,4.0,,0.2,0.0,0.18,0.38,1.17,1.36,24,15,564,244,7,3,50,18,0.99,0.22
Nordi Mukiele,Sunderland,DEF,5.5,151,0,4.7,2.7,3,5,2784,9,40,1,0,0,0,5,0,11,733.6,353.1,242.0,132.9,0.0,0,0.0,27.5,0,0,0,0,0.0,0.0,0.0,0.0,1.62,2.65,4.27,44.71,32,69,204,131,273,8.83,Knock - 75% chance of playing,38,15,97,24,123,23,72,15,,,,,,,0.05,0.0,0.09,0.14,1.45,1.29,132,14,391,165,16,4,110,44,1.03,0.29
Kiernan Dewsbury-Hall,Everton,MID,6.5,151,0,4.9,3.5,8,7,2629,8,39,0,0,0,0,6,0,18,619.4,601.1,438.0,166.0,0.0,0,0.0,23.2,0,0,0,0,0.0,0.0,0.0,0.0,4.35,5.34,9.69,40.38,30,52,44,134,230,7.87,,70,21,34,33,50,29,37,27,2.0,,,,,,0.15,0.0,0.18,0.33,1.38,1.34,37,25,544,228,14,7,89,31,1.03,0.27
Jurriën J.Timber,Arsenal,DEF,6.5,149,0,5.0,0.2,3,6,2452,13,20,0,0,0,0,5,0,9,499.0,402.6,352.0,125.7,0.0,0,0.0,22.9,0,0,0,0,0.0,0.0,0.0,0.0,4.71,1.53,6.24,17.45,28,66,82,97,148,5.43,Groin injury - Unknown return date,114,49,76,18,76,9,79,17,,,,,,,0.17,0.0,0.06,0.23,0.64,0.73,47,3,554,193,13,3,334,125,1.03,0.48
Jan Paul Van Hecke,Spurs,DEF,5.0,148,0,4.1,8.9,3,3,3210,10,44,1,0,0,0,9,0,8,980.6,240.4,295.0,152.0,0.0,0,0.0,29.6,0,0,0,0,0.0,0.0,0.0,0.0,3.31,1.57,4.87,46.27,36,53,264,113,317,8.89,,7,4,143,34,102,16,50,9,,,,,,,0.09,0.0,0.04,0.13,1.3,1.23,317,62,294,145,45,17,51,19,1.01,0.28
Bryan Mbeumo,Man Utd,MID,8.0,148,0,4.5,31.0,11,3,2611,8,37,0,0,0,0,4,0,16,628.8,803.1,882.0,231.4,0.0,0,0.0,18.5,0,0,0,0,0.0,0.0,0.0,0.0,11.98,4.99,16.97,35.87,31,25,23,91,139,4.79,,67,19,17,16,7,2,9,7,2.0,,2.0,,2.0,,0.41,0.0,0.17,0.58,1.24,1.28,11,7,585,257,30,13,6,3,1.07,0.28
Enzo E.Le Fée,Sunderland,MID,6.0,147,0,4.1,11.9,5,6,2930,10,43,0,0,1,0,5,0,16,725.8,816.4,324.0,186.9,0.0,0,0.0,24.5,0,0,0,0,0.0,0.0,0.0,0.0,5.22,5.95,11.17,46.5,33,89,77,153,319,9.8,,41,11,16,15,87,54,28,22,1.0,,2.0,,2.0,,0.16,0.0,0.18,0.34,1.43,1.32,94,59,521,209,48,22,36,12,1.01,0.31
Ryan Gravenberch,Liverpool,MID,6.0,144,0,4.0,1.9,5,5,2991,9,42,0,0,0,0,5,0,17,687.0,497.2,220.0,140.1,0.0,0,0.0,24.0,0,0,0,0,0.0,0.0,0.0,0.0,1.89,2.26,4.15,38.41,34,59,112,127,298,8.97,,50,13,50,44,140,80,58,37,,,,,,,0.06,0.0,0.07,0.13,1.16,1.26,83,53,510,203,59,26,132,41,1.02,0.27
Caoimhín Kelleher,Brentford,GKP,5.0,143,0,3.9,5.9,0,0,3330,10,49,0,3,0,109,1,0,11,913.8,23.0,0.0,93.8,0.0,0,0.0,28.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,53.48,37,1,48,301,0,0.0,,12,3,320,5,498,56,143,3,,,,,,,0.0,2.95,0.01,0.01,1.45,1.32,255,11,232,53,64,5,65,8,1.0,0.27
Matheus Cunha,Man Utd,MID,8.0,143,0,4.3,11.3,10,4,2493,8,35,0,0,0,0,4,0,14,675.8,545.4,801.0,202.5,0.0,0,0.0,17.9,0,0,0,0,0.0,0.0,0.0,0.0,6.9,3.36,10.26,35.75,29,39,46,126,211,7.62,,54,15,41,38,17,8,22,18,,,,,,,0.25,0.0,0.12,0.37,1.29,1.26,10,6,584,256,40,17,38,13,1.05,0.29
Dominic Calvert-Lewin,Leeds,FWD,6.0,142,0,4.1,27.5,14,2,2721,8,34,0,0,1,0,3,0,20,619.6,311.1,1026.0,194.7,0.0,0,0.0,23.7,0,0,0,0,0.0,0.0,0.0,0.0,15.57,1.06,16.62,35.74,30,10,49,46,105,3.47,,69,5,117,8,5,4,25,5,,,,,1.0,,0.51,0.0,0.04,0.55,1.18,1.12,63,16,490,47,47,6,8,3,0.99,0.26
Marcus Tavernier,Bournemouth,MID,6.0,137,0,4.0,1.8,7,4,2732,11,44,0,0,0,0,6,0,14,656.8,816.6,605.0,207.9,0.0,0,0.0,22.8,0,0,0,0,0.0,0.0,0.0,0.0,9.06,4.6,13.66,41.06,31,39,62,150,251,8.27,,60,17,15,14,30,16,19,15,1.0,,1.0,,3.0,,0.3,0.0,0.15,0.45,1.35,1.45,66,44,493,194,57,24,140,43,1.02,0.36
Anton Stach,Leeds,MID,6.0,137,0,4.7,1.1,5,6,2369,7,36,0,0,0,0,3,0,14,650.0,921.4,315.0,188.8,0.0,0,0.0,22.8,0,0,0,0,0.0,0.0,0.0,0.0,2.88,4.47,7.35,34.05,28,65,81,120,266,10.11,,62,18,8,8,90,56,26,21,1.0,,1.0,,,,0.11,0.0,0.17,0.28,1.29,1.37,91,58,518,208,19,8,188,64,1.06,0.27
William Saliba,Arsenal,DEF,6.0,137,0,4.4,0.4,1,0,2614,15,20,0,0,0,0,2,0,12,552.6,201.0,90.0,84.3,0.0,0,0.0,22.8,0,0,0,0,0.0,0.0,0.0,0.0,0.88,1.21,2.09,20.41,30,35,158,113,193,6.64,Back injury - Unknown return date,92,41,167,41,245,76,164,57,,,,,,,0.03,0.0,0.04,0.07,0.7,0.69,88,9,515,190,34,13,285,106,1.03,0.52
Trevoh Chalobah,Chelsea,DEF,5.5,136,0,4.0,0.7,3,1,2780,9,40,0,0,0,0,3,1,7,719.2,111.2,160.0,99.1,0.0,0,0.0,24.7,0,0,0,0,0.0,0.0,0.0,0.0,1.44,1.03,2.47,40.83,31,35,230,119,265,8.58,Has joined Como permanently,43,17,231,70,188,50,132,41,,,,,,,0.05,0.0,0.03,0.08,1.32,1.29,125,12,384,163,54,22,229,86,1.0,0.29
Dango O.Dango,Brentford,MID,6.5,136,0,4.2,1.4,7,8,2271,6,35,0,0,0,0,5,0,16,509.8,422.8,702.0,162.8,0.0,0,0.0,20.9,0,0,0,0,0.0,0.0,0.0,0.0,7.94,4.12,12.06,34.75,25,24,76,85,185,7.33,,112,38,65,50,23,10,42,29,4.0,,,,,,0.31,0.0,0.16,0.47,1.38,1.39,53,37,560,240,44,20,167,53,0.99,0.24
Robin Roefs,Sunderland,GKP,5.0,136,0,3.9,4.8,0,0,3150,10,46,0,1,0,109,4,0,12,881.6,50.0,0.0,93.1,0.0,0,0.0,27.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,50.05,35,0,37,333,0,0.0,,16,5,283,2,532,63,146,4,,,,,,,0.0,3.11,0.0,0.0,1.43,1.31,339,19,316,61,66,6,74,10,1.0,0.29
Alex Scott,Bournemouth,MID,6.0,136,0,3.7,1.5,3,2,2848,11,41,0,0,0,0,5,0,9,597.2,482.0,314.0,139.0,0.0,0,0.0,22.7,0,0,0,0,0.0,0.0,0.0,0.0,3.8,2.94,6.74,47.02,34,60,133,193,386,12.2,,77,25,53,46,91,57,63,41,2.0,,4.0,,,,0.12,0.0,0.09,0.21,1.49,1.3,98,63,525,213,81,35,157,47,1.07,0.35
Daniel Muñoz,Crystal Palace,DEF,5.5,136,0,4.7,10.9,4,4,2400,10,33,0,0,0,0,7,0,9,595.0,396.6,404.0,139.5,0.0,0,0.0,24.7,0,0,0,0,0.0,0.0,0.0,0.0,2.45,3.94,6.39,34.28,29,72,124,97,196,7.35,,79,33,79,19,63,5,62,10,,,,,,,0.09,0.0,0.15,0.24,1.29,1.24,152,18,411,169,17,5,41,15,1.09,0.38
Gianluigi Donnarumma,Man City,GKP,5.5,135,0,4.0,9.7,0,0,3060,15,29,0,1,0,78,8,0,5,666.6,10.3,2.0,68.0,0.0,0,0.0,24.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,38.5,34,0,42,236,0,0.0,,56,14,338,7,358,4,204,14,,,,,,,0.0,2.29,0.0,0.0,1.13,0.85,134,4,393,65,55,4,45,6,1.0,0.44
Rayan Cherki,Man City,MID,7.5,135,0,4.1,7.9,4,13,1772,8,18,0,0,0,0,1,0,16,604.2,996.6,579.0,218.1,0.0,0,0.0,18.0,0,0,0,0,0.0,0.0,0.0,0.0,4.28,8.87,13.14,25.23,19,26,16,93,135,6.86,,73,23,5,5,34,20,13,10,1.0,,1.0,,,,0.22,0.0,0.45,0.67,1.28,0.91,18,11,576,252,49,23,55,19,0.97,0.41
Mateus Fernandes,Spurs,MID,6.0,135,0,3.8,2.4,3,4,3017,8,50,0,0,0,0,7,0,7,657.2,622.8,183.0,146.3,0.0,0,0.0,22.5,0,0,0,0,0.0,0.0,0.0,0.0,1.99,2.96,4.95,48.3,35,103,84,182,369,11.01,,59,16,30,29,171,90,55,35,,,,,,,0.06,0.0,0.09,0.15,1.44,1.49,103,67,530,217,74,33,119,38,1.04,0.24
Jordan Pickford,Everton,GKP,5.5,135,0,3.6,8.5,0,0,3420,11,50,0,1,0,100,4,0,11,885.2,20.3,2.0,90.8,0.0,0,0.0,24.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,56.24,38,2,52,313,0,0.0,,15,4,323,6,357,3,149,5,,,,,,,0.0,2.63,0.01,0.01,1.48,1.32,115,2,374,63,92,9,54,7,1.0,0.29
Tyrick Mitchell,Crystal Palace,DEF,4.5,135,0,3.6,6.7,1,3,3253,12,47,0,0,0,0,6,0,8,649.0,467.3,241.0,136.0,0.0,0,0.0,30.0,0,0,0,0,0.0,0.0,0.0,0.0,1.59,2.53,4.12,49.78,36,100,145,187,245,6.78,,64,28,56,9,124,24,70,14,,,,,,,0.04,0.0,0.07,0.11,1.38,1.3,450,115,128,87,85,33,60,24,1.0,0.33
Ethan Ampadu,Leeds,MID,5.5,134,0,3.8,1.5,1,4,3119,8,49,0,0,0,0,10,0,11,592.2,384.8,166.0,114.7,0.0,0,0.0,24.4,0,0,0,0,0.0,0.0,0.0,0.0,2.47,2.2,4.67,48.66,35,81,151,184,416,12.0,,80,26,86,64,181,99,97,56,,,,,,,0.07,0.0,0.06,0.13,1.4,1.41,130,81,389,132,72,32,161,49,1.01,0.23
Martín Zubimendi,Arsenal,MID,5.5,133,0,3.5,1.3,5,1,2991,16,25,0,0,0,0,4,0,9,603.2,385.1,271.0,126.2,0.0,0,0.0,24.2,0,0,0,0,0.0,0.0,0.0,0.0,2.84,2.27,5.11,26.09,34,68,123,116,307,9.24,,74,24,85,63,110,64,78,49,,,,,,,0.09,0.0,0.07,0.16,0.79,0.75,186,114,445,165,107,42,172,57,1.02,0.48
Phil Foden,Man City,MID,7.0,131,0,4.0,4.8,7,5,2078,11,19,0,0,0,0,4,0,13,583.2,918.8,520.0,201.9,0.0,0,0.0,18.7,0,0,0,0,0.0,0.0,0.0,0.0,6.03,4.76,10.79,27.38,23,34,24,102,160,6.93,,81,27,9,9,40,24,23,19,3.0,,3.0,,,,0.26,0.0,0.21,0.47,1.19,0.82,25,16,565,245,61,28,73,26,1.0,0.48
Michael Keane,Everton,DEF,5.0,131,0,4.0,1.7,3,1,2588,7,42,0,0,0,0,1,1,8,770.4,47.4,299.0,111.7,0.0,0,0.0,26.2,0,0,0,0,0.0,0.0,0.0,0.0,2.3,0.49,2.79,44.52,29,37,265,87,302,10.5,,33,13,288,97,99,14,104,28,,,,,,,0.08,0.0,0.02,0.1,1.55,1.46,232,37,209,120,50,18,143,59,1.01,0.24
Cody Gakpo,Liverpool,MID,7.0,131,0,3.6,3.7,7,5,2736,10,39,0,0,0,0,3,0,5,540.4,714.7,831.0,208.4,0.0,0,0.0,18.7,0,0,0,0,0.0,0.0,0.0,0.0,8.35,4.67,13.02,34.94,32,28,37,87,152,5.0,,97,29,23,22,10,5,18,14,2.0,,,,3.0,,0.27,0.0,0.15,0.42,1.15,1.28,26,17,566,246,96,41,86,30,1.05,0.33
Dean Henderson,Crystal Palace,GKP,5.0,131,0,3.5,3.2,0,0,3330,11,51,0,1,0,106,5,0,7,837.8,10.0,0.0,84.7,0.0,0,0.0,26.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,51.4,37,1,55,298,0,0.0,,22,6,343,12,497,55,160,7,,,,,,,0.0,2.86,0.0,0.0,1.39,1.38,249,10,226,52,100,10,96,17,1.0,0.3
Bart Verbruggen,Brighton,GKP,4.5,130,0,3.4,19.1,0,0,3420,10,46,1,1,0,106,3,0,6,935.0,10.0,0.0,94.7,0.0,0,0.0,28.9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,49.06,38,1,32,332,0,0.0,,9,2,341,10,455,45,141,2,,,,,,,0.0,2.79,0.0,0.0,1.29,1.21,473,41,151,41,109,12,19,4,1.0,0.26
Nathan Collins,Brentford,DEF,5.5,129,0,3.7,2.0,1,2,2971,9,44,1,0,0,0,7,0,7,848.6,143.8,325.0,131.9,0.0,0,0.0,23.5,0,0,0,0,0.0,0.0,0.0,0.0,2.24,1.71,3.95,47.52,32,32,287,139,319,9.66,,20,8,206,54,86,10,73,16,,,,,,,0.07,0.0,0.05,0.12,1.44,1.33,157,19,416,170,79,32,131,54,0.97,0.27
Chris Richards,Crystal Palace,DEF,5.0,128,0,3.9,0.8,1,0,2825,11,42,0,0,0,0,4,0,5,727.2,159.6,185.0,107.6,0.0,0,0.0,25.6,0,0,0,0,0.0,0.0,0.0,0.0,2.42,1.56,3.98,41.19,31,54,257,65,311,9.91,,40,16,196,51,167,47,109,31,,,,,,,0.08,0.0,0.05,0.13,1.31,1.34,294,53,271,136,65,25,209,77,0.99,0.35
